[Header]
Application Name	LCsolution
Version	1.25
Data File Name	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-MeOH-1.lcd
Output Date	03.06.2025
Output Time	07:23:19

[File Information]
Type	Data File
Generated	02.06.2025 15:09:37
Generated by	Admin
Modified	02.06.2025 15:30:04
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquired	02.06.2025 15:10:02
Sample Type	0:Unknown
Level	1
Sample Name	FKE-Cal-MeOH-1
Sample ID	14.07
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	5

[Original Files]
Data File	C:\LabSolutions\Data\RWTH\Fabian Ketter\FKE-Cal-MeOH-1.lcd
Method File	C:\LabSolutions\Data\RWTH\aaaMethodenNEU\Formaldehyd_35grad_Methode_052025.lcm
Batch File	C:\LabSolutions\Data\RWTH\Daniel Ditz\Batch.lcb
Report Format File	C:\LabSolutions\Data\RI+UV-Quantifizierung.lcr
Tuning File	

[File Description]


[Configuration]
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	Detector A	Detector B
# of Channels	1	1

[Peak Table(Detector A-Ch1)]
# of Peaks	130
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Conc. %	Norm Conc.
1	0.046	0.017	0.125	340783	120243	2.8340	0.0000	   			0.000	4	35987.439	1.781	0.000	0.000	0.0000	0.0000
2	0.197	0.133	0.333	642128	99644	6.4440	0.0000	   			3.260	8	17820.212	1.579	0.832	0.000	0.0000	0.0000
3	0.467	0.333	0.517	1306267	228739	5.7110	0.0000	   			9.098	25	6029.176	0.000	0.836	2.791	0.0000	0.0000
4	0.664	0.517	0.758	4311911	415976	10.3660	0.0000	 V 			13.366	36	4144.105	0.000	0.484	1.469	0.0000	0.0000
5	0.939	0.758	1.067	7581151	635713	11.9250	0.0000	 V 			19.307	136	1106.655	0.000	0.719	1.444	0.0000	0.0000
6	1.086	1.067	1.217	1869584	299364	6.2450	0.0000	 V 			22.508	115	1307.689	0.000	0.406	1.166	0.0000	0.0000
7	1.247	1.217	1.325	994625	224286	4.4350	0.0000	 V 			25.988	895	167.561	0.000	0.562	1.155	0.0000	0.0000
8	1.377	1.325	1.492	1088780	193748	5.6200	0.0000	 V 			28.801	974	153.929	0.000	0.758	1.108	0.0000	0.0000
9	1.526	1.492	1.550	94462	34327	2.7520	0.0000	 V 			32.012	2401	62.477	0.000	0.986	1.111	0.0000	0.0000
10	1.587	1.550	1.625	135418	42081	3.2180	0.0000	 V 			33.328	2481	60.453	0.000	0.483	1.041	0.0000	0.0000
11	1.710	1.625	1.800	608378	131583	4.6240	0.0000	 V 			36.001	1802	83.220	0.000	0.856	1.080	0.0000	0.0000
12	1.880	1.800	1.958	1417138	236262	5.9980	0.0000	 V 			39.669	284	527.868	0.000	0.558	1.102	0.0000	0.0000
13	2.007	1.958	2.025	917591	291087	3.1520	0.0000	 V 			42.428	33	4608.530	0.000	0.138	1.070	0.0000	0.0000
14	2.067	2.025	2.183	1927354	288848	6.6730	0.0000	 V 			43.717	110	1360.481	0.000	0.054	1.030	0.0000	0.0000
15	2.275	2.183	2.317	1544877	271878	5.6820	0.0000	 V 			48.224	2363	63.490	0.000	0.428	1.103	0.0000	0.0000
16	2.386	2.317	2.458	2695738	400457	6.7320	0.0000	 V 			50.623	622	241.193	0.000	0.389	1.050	0.0000	0.0000
17	2.491	2.458	2.542	2428157	559590	4.3390	0.0000	 V 			52.897	1221	122.900	0.000	0.315	1.045	0.0000	0.0000
18	2.545	2.542	2.650	2554811	466648	5.4750	0.0000	 V 			54.060	2973	50.457	0.000	0.228	1.022	0.0000	0.0000
19	2.721	2.650	2.750	1768338	344645	5.1310	0.0000	 V 			57.874	123	1219.060	0.000	0.302	1.071	0.0000	0.0000
20	2.926	2.750	2.983	7496465	794449	9.4360	0.0000	 V 			62.316	1144	131.131	0.000	0.309	1.077	0.0000	0.0000
21	3.179	2.983	3.258	12775520	1042123	12.2590	0.0000	 V 			67.775	787	190.571	0.000	0.631	1.088	0.0000	0.0000
22	3.330	3.258	3.358	4024551	711711	5.6550	0.0000	 V 			71.052	288	520.296	0.000	0.245	1.048	0.0000	0.0000
23	3.445	3.358	3.558	8431186	861022	9.7920	0.0000	 V 			73.546	683	219.549	0.000	0.176	1.035	0.0000	0.0000
24	3.583	3.558	3.633	2705231	629436	4.2980	0.0000	 V 			76.533	1673	89.671	0.000	0.315	1.041	0.0000	0.0000
25	3.776	3.633	3.817	10424739	1187223	8.7810	0.0000	 V 			80.710	2049	73.219	0.000	0.564	1.055	0.0000	0.0000
26	3.856	3.817	3.917	5667663	1113556	5.0900	0.0000	 V 			82.428	2724	55.057	0.000	0.252	1.021	0.0000	0.0000
27	3.982	3.917	4.033	6024539	932483	6.4610	0.0000	 V 			85.154	1402	107.008	0.000	0.349	1.033	0.0000	0.0000
28	4.087	4.033	4.317	11196463	934617	11.9800	0.0000	 V 			87.437	1430	104.932	0.000	0.246	1.027	0.0000	0.0000
29	4.372	4.317	4.592	5565376	516172	10.7820	0.0000	 V 			93.589	2277	65.882	0.000	0.712	1.070	0.0000	0.0000
30	4.601	4.592	4.675	789881	171680	4.6010	0.0000	 V 			98.543	6305	23.790	0.000	0.766	1.053	0.0000	0.0000
31	4.746	4.675	4.850	2441401	345517	7.0660	0.0000	 V 			101.684	6995	21.443	0.000	0.633	1.032	0.0000	0.0000
32	5.024	4.850	5.150	5662973	417934	13.5500	0.0000	 V 			107.696	842	178.099	0.000	0.604	1.059	0.0000	0.0000
33	5.166	5.150	5.200	1269525	464189	2.7350	0.0000	 V 			110.775	7562	19.835	0.000	0.306	1.029	0.0000	0.0000
34	5.233	5.200	5.333	3971855	540188	7.3530	0.0000	 V 			112.233	3344	44.851	0.000	0.225	1.013	0.0000	0.0000
35	5.430	5.333	5.525	6666524	674331	9.8860	0.0000	 V 			116.484	848	176.991	0.000	0.355	1.038	0.0000	0.0000
36	5.583	5.525	5.625	3513646	605874	5.7990	0.0000	 V 			119.808	5603	26.769	0.000	0.294	1.029	0.0000	0.0000
